date,symbol,close,rsi,adx,pullback_pct,volume_ok,signal
2026-04-22,ABB,7576.0,81.57,31.35,3.15,Yes,FAIL_PULLBACK
2026-04-22,ABBOTINDIA,25495.0,40.78,14.77,2.82,No,FAIL_MOMENTUM
2026-04-22,ADANIENSOL,1352.8,81.65,29.76,0.08,Yes,FAIL_PULLBACK
2026-04-22,ADANIENT,2254.6,69.03,33.97,1.12,Yes,FAIL_PULLBACK
2026-04-22,ADANIGREEN,1187.2,80.36,36.44,0.65,No,FAIL_PULLBACK
2026-04-22,ADANIPORTS,1591.9,68.67,22.02,1.24,No,FAIL_PULLBACK
2026-04-22,ADANIPOWER,214.48,90.05,36.23,0.17,Yes,FAIL_PULLBACK
2026-04-22,ALKEM,5707.0,64.08,18.46,0.49,Yes,FAIL_PULLBACK
2026-04-22,AMBUJACEM,460.15,55.18,26.04,0.83,No,FAIL_MOMENTUM
2026-04-22,APOLLOHOSP,7713.0,58.68,12.57,1.13,Yes,FAIL_PULLBACK
2026-04-22,APOLLOTYRE,434.8,50.37,19.28,3.22,No,FAIL_MOMENTUM
2026-04-22,ASHOKLEY,179.7,54.91,23.21,0.93,No,FAIL_MOMENTUM
2026-04-22,ASIANPAINT,2561.1,70.69,31.49,0.81,No,FAIL_MOMENTUM
2026-04-22,ASTRAL,1594.0,49.53,9.4,4.06,No,FAIL_PULLBACK
2026-04-22,ATGL,625.7,65.73,35.21,3.66,No,FAIL_PULLBACK
2026-04-22,AUBANK,1045.35,69.33,23.95,0.86,No,FAIL_PULLBACK
2026-04-22,AUROPHARMA,1405.8,70.03,15.8,0.65,No,FAIL_PULLBACK
2026-04-22,AXISBANK,1385.3,65.72,23.1,0.41,No,FAIL_PULLBACK
2026-04-22,BAJAJ-AUTO,9680.0,56.5,22.68,2.97,No,FAIL_PULLBACK
2026-04-22,BAJAJFINSV,1852.7,57.74,23.28,0.39,No,FAIL_MOMENTUM
2026-04-22,BAJAJHLDNG,10379.5,59.64,21.73,1.11,No,FAIL_MOMENTUM
2026-04-22,BAJFINANCE,936.8,57.8,19.26,1.01,No,FAIL_MOMENTUM
2026-04-22,BALKRISIND,2315.6,55.86,15.78,2.09,No,FAIL_MOMENTUM
2026-04-22,BANDHANBNK,176.34,61.82,21.28,1.12,No,FAIL_PULLBACK
2026-04-22,BANKBARODA,282.3,54.03,20.31,1.38,No,FAIL_MOMENTUM
2026-04-22,BANKINDIA,152.72,54.17,22.31,1.05,Yes,FAIL_MOMENTUM
2026-04-22,BATAINDIA,767.0,64.13,28.95,0.65,No,FAIL_MOMENTUM
2026-04-22,BEL,448.6,55.73,13.13,3.4,No,FAIL_PULLBACK
2026-04-22,BERGEPAINT,478.0,65.93,34.8,2.45,No,FAIL_MOMENTUM
2026-04-22,BHARATFORG,1905.0,65.7,22.38,1.04,No,FAIL_PULLBACK
2026-04-22,BHARTIARTL,1833.8,45.85,32.64,3.16,No,FAIL_MOMENTUM
2026-04-22,BHEL,333.94,78.99,28.76,0.85,No,FAIL_PULLBACK
2026-04-22,BIOCON,357.75,46.69,31.27,1.91,No,FAIL_MOMENTUM
2026-04-22,BOSCHLTD,38055.0,69.5,34.27,0.89,No,FAIL_PULLBACK
2026-04-22,BPCL,316.15,55.25,23.99,1.23,No,FAIL_MOMENTUM
2026-04-22,BRITANNIA,5764.0,53.84,23.14,2.7,No,FAIL_MOMENTUM
2026-04-22,CANBK,145.6,59.35,15.48,0.88,No,FAIL_MOMENTUM
2026-04-22,CHOLAFIN,1570.1,54.07,23.21,2.21,No,FAIL_MOMENTUM
2026-04-22,CIPLA,1236.0,45.96,26.8,0.8,No,FAIL_MOMENTUM
2026-04-22,COALINDIA,443.9,50.09,15.36,4.33,No,FAIL_PULLBACK
2026-04-22,COFORGE,1236.4,49.66,25.37,7.38,Yes,FAIL_MOMENTUM
2026-04-22,COLPAL,2100.6,62.28,32.18,2.21,No,FAIL_MOMENTUM
2026-04-22,CONCOR,509.95,67.02,25.26,0.54,No,FAIL_MOMENTUM
2026-04-22,COROMANDEL,2033.6,47.98,14.34,7.48,No,FAIL_MOMENTUM
2026-04-22,CROMPTON,259.68,59.99,19.84,2.72,No,FAIL_MOMENTUM
2026-04-22,CUMMINSIND,5208.7,64.47,20.66,1.21,No,FAIL_PULLBACK
2026-04-22,DABUR,462.2,59.22,25.34,0.09,No,FAIL_MOMENTUM
2026-04-22,DALBHARAT,1986.3,57.23,21.15,0.86,No,FAIL_MOMENTUM
2026-04-22,DELHIVERY,462.3,59.61,19.01,3.37,No,FAIL_PULLBACK
2026-04-22,DIVISLAB,6285.0,60.18,17.92,0.63,No,FAIL_MOMENTUM
2026-04-22,DIXON,11286.5,59.75,16.39,1.34,No,FAIL_MOMENTUM
2026-04-22,DLF,612.55,64.09,21.21,0.37,No,FAIL_MOMENTUM
2026-04-22,DRREDDY,1218.3,43.49,26.58,1.99,No,FAIL_MOMENTUM
2026-04-22,EICHERMOT,7240.5,53.54,16.78,2.62,No,FAIL_MOMENTUM
2026-04-22,ESCORTS,3350.0,60.4,21.65,0.83,No,FAIL_MOMENTUM
2026-04-22,FEDERALBNK,298.05,64.05,23.9,0.33,No,FAIL_PULLBACK
2026-04-22,GAIL,166.08,69.63,24.59,0.43,Yes,FAIL_MOMENTUM
2026-04-22,GODREJCP,1144.25,63.47,24.28,0.31,No,FAIL_MOMENTUM
2026-04-22,GODREJPROP,1834.7,68.63,17.98,0.17,No,FAIL_MOMENTUM
2026-04-22,GRASIM,2772.5,57.03,18.41,1.33,Yes,FAIL_MOMENTUM
2026-04-22,GUJGASLTD,380.6,64.22,18.05,0.34,No,FAIL_MOMENTUM
2026-04-22,HAL,4388.0,69.53,29.46,0.57,No,FAIL_PULLBACK
2026-04-22,HAVELLS,1331.5,59.35,14.59,0.59,No,FAIL_MOMENTUM
2026-04-22,HCLTECH,1289.3,32.48,23.12,12.58,Yes,FAIL_MOMENTUM
2026-04-22,HDFCBANK,801.1,48.22,28.2,2.31,No,FAIL_MOMENTUM
2026-04-22,HDFCLIFE,603.5,43.21,28.96,7.26,No,FAIL_MOMENTUM
2026-04-22,HEROMOTOCO,5212.5,47.34,15.67,4.96,No,FAIL_MOMENTUM
2026-04-22,HINDALCO,1038.6,66.7,21.26,0.96,No,FAIL_PULLBACK
2026-04-22,HINDUNILVR,2363.0,69.75,27.44,1.87,Yes,FAIL_MOMENTUM
2026-04-22,ICICIBANK,1370.6,61.53,26.45,1.62,No,FAIL_MOMENTUM
2026-04-22,ICICIGI,1831.0,52.69,24.37,4.08,No,FAIL_MOMENTUM
2026-04-22,ICICIPRULI,539.65,40.67,28.19,7.71,No,FAIL_MOMENTUM
2026-04-22,IDBI,74.61,42.95,37.64,2.1,Yes,FAIL_MOMENTUM
2026-04-22,IDEA,9.51,51.97,23.76,2.26,No,FAIL_MOMENTUM
2026-04-22,IDFCFIRSTB,68.21,55.25,27.81,0.86,No,FAIL_MOMENTUM
2026-04-22,INDHOTEL,660.05,59.02,21.32,1.31,No,FAIL_MOMENTUM
2026-04-22,INDIGO,4648.9,56.29,18.39,2.09,No,FAIL_MOMENTUM
2026-04-22,INDUSINDBK,868.4,57.22,18.69,0.53,No,FAIL_MOMENTUM
2026-04-22,INDUSTOWER,407.45,38.77,21.25,8.07,No,FAIL_MOMENTUM
2026-04-22,INFY,1267.6,41.48,15.96,7.94,Yes,FAIL_MOMENTUM
2026-04-22,IRCTC,557.8,55.79,21.59,2.15,No,FAIL_MOMENTUM
2026-04-22,IRFC,105.85,61.78,23.3,0.87,No,FAIL_MOMENTUM
2026-04-22,ITC,305.7,52.27,22.78,1.74,No,FAIL_MOMENTUM
2026-04-22,JINDALSTEL,1288.3,67.34,21.02,1.37,No,FAIL_PULLBACK
2026-04-22,JIOFIN,238.5,48.62,19.44,3.87,No,FAIL_MOMENTUM
2026-04-22,JSWENERGY,560.2,71.35,17.44,0.28,No,FAIL_PULLBACK
2026-04-22,JSWSTEEL,1265.5,62.54,20.96,2.38,No,FAIL_PULLBACK
2026-04-22,JUBLFOOD,488.35,58.67,16.68,0.44,Yes,FAIL_MOMENTUM
2026-04-22,KOTAKBANK,377.2,49.0,21.85,2.39,No,FAIL_MOMENTUM
2026-04-22,LAURUSLABS,1100.55,58.03,19.44,3.87,No,FAIL_PULLBACK
2026-04-22,LICHSGFIN,561.0,65.87,17.22,1.33,No,FAIL_PULLBACK
2026-04-22,LICI,822.8,55.98,23.2,3.92,No,FAIL_MOMENTUM
2026-04-22,LODHA,888.05,60.57,31.06,0.75,No,FAIL_MOMENTUM
2026-04-22,LT,4024.7,57.18,18.06,3.0,No,FAIL_PULLBACK
2026-04-22,LUPIN,2302.6,49.52,9.72,2.14,No,FAIL_PULLBACK
2026-04-22,M&M,3173.4,49.19,15.87,3.89,No,FAIL_MOMENTUM
2026-04-22,M&MFIN,301.85,44.82,28.85,2.63,No,FAIL_MOMENTUM
2026-04-22,MARICO,773.4,57.57,12.82,0.4,No,FAIL_MOMENTUM
2026-04-22,MARUTI,13389.0,50.81,21.62,2.96,No,FAIL_MOMENTUM
2026-04-22,MAXHEALTH,1006.5,56.0,26.17,1.86,No,FAIL_MOMENTUM
2026-04-22,MUTHOOTFIN,3612.7,60.49,18.73,0.96,No,FAIL_PULLBACK
2026-04-22,NAUKRI,1045.7,54.53,19.39,3.26,Yes,FAIL_MOMENTUM
2026-04-22,NESTLEIND,1395.2,77.06,31.66,2.1,Yes,FAIL_PULLBACK
2026-04-22,NTPC,405.6,69.79,17.84,0.27,Yes,FAIL_PULLBACK
2026-04-22,ONGC,283.5,56.17,30.88,2.86,No,FAIL_PULLBACK
2026-04-22,PAGEIND,37765.0,71.84,42.52,1.91,No,FAIL_PULLBACK
2026-04-22,PAYTM,1166.4,62.03,20.6,1.24,No,FAIL_MOMENTUM
2026-04-22,PERSISTENT,5070.4,44.21,28.97,9.54,Yes,FAIL_MOMENTUM
2026-04-22,PETRONET,279.1,55.7,15.44,0.52,No,FAIL_MOMENTUM
2026-04-22,PIDILITIND,1419.3,59.3,18.15,0.23,No,FAIL_MOMENTUM
2026-04-22,PIIND,3056.0,56.03,13.78,3.96,No,FAIL_MOMENTUM
2026-04-22,PNB,114.8,54.38,20.28,0.69,No,FAIL_MOMENTUM
2026-04-22,POLYCAB,8019.5,59.62,22.44,3.44,No,FAIL_PULLBACK
2026-04-22,POWERGRID,319.25,71.13,22.94,1.18,No,FAIL_PULLBACK
2026-04-22,RECLTD,383.55,70.8,20.86,1.01,No,FAIL_PULLBACK
2026-04-22,RELIANCE,1359.4,48.81,21.9,0.99,No,FAIL_MOMENTUM
2026-04-22,SAIL,176.14,68.89,25.71,1.3,No,FAIL_PULLBACK
2026-04-22,SBICARD,688.4,50.43,17.11,1.71,Yes,FAIL_MOMENTUM
2026-04-22,SBILIFE,1883.2,45.17,17.01,5.41,Yes,FAIL_MOMENTUM
2026-04-22,SBIN,1102.3,56.66,25.36,1.66,No,FAIL_MOMENTUM
2026-04-22,SHREECEM,25720.0,62.17,24.3,0.66,No,FAIL_MOMENTUM
2026-04-22,SIEMENS,3835.8,75.49,28.64,1.27,No,FAIL_PULLBACK
2026-04-22,SUNPHARMA,1663.9,38.65,25.19,4.88,No,FAIL_MOMENTUM
2026-04-22,SYNGENE,433.7,56.29,21.9,3.83,No,FAIL_MOMENTUM
2026-04-22,TATACONSUM,1176.3,72.19,19.39,1.56,Yes,FAIL_MOMENTUM
2026-04-22,TATASTEEL,212.64,65.26,16.69,0.86,No,FAIL_PULLBACK
2026-04-22,TCS,2542.8,50.51,21.61,2.72,Yes,FAIL_MOMENTUM
2026-04-22,TECHM,1464.5,53.12,22.49,4.36,Yes,FAIL_MOMENTUM
2026-04-22,TITAN,4460.0,59.06,20.63,2.06,No,FAIL_PULLBACK
2026-04-22,TORNTPHARM,4090.4,42.69,18.45,3.41,No,FAIL_MOMENTUM
2026-04-22,TRENT,4424.0,73.61,32.55,1.65,Yes,FAIL_MOMENTUM
2026-04-22,TVSMOTOR,3698.6,53.1,18.83,3.94,No,FAIL_PULLBACK
2026-04-22,UBL,1505.0,46.15,16.27,2.5,No,FAIL_MOMENTUM
2026-04-22,ULTRACEMCO,12101.0,60.74,27.49,0.61,No,FAIL_MOMENTUM
2026-04-22,UNITDSPR,1397.4,64.88,19.82,0.24,No,FAIL_MOMENTUM
2026-04-22,VEDL,757.5,62.18,26.32,4.72,No,FAIL_PULLBACK
2026-04-22,VOLTAS,1493.7,64.87,24.96,0.02,No,FAIL_MOMENTUM
2026-04-22,WIPRO,203.49,51.82,25.69,4.46,No,FAIL_MOMENTUM
2026-04-22,ZEEL,87.5,62.23,25.55,1.89,No,FAIL_MOMENTUM
