symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
ABB,2022-09-22,2022-09-26,3082.18,2943.08,-4.51,STOP_LOSS
ADANIPOWER,2022-09-19,2022-09-26,78.37,73.3,-6.47,STOP_LOSS
ADANIPOWER,2023-10-19,2023-10-20,68.89,67.66,-1.79,MOMENTUM_FADE
APOLLOTYRE,2022-08-29,2022-09-05,233.02,244.7,5.01,PARTIAL_EXIT_50%
APOLLOTYRE,2022-08-29,2022-09-06,233.02,261.86,12.37,TARGET_HIT_RUNNER
ASIANPAINT,2025-12-19,2025-12-26,2799.9,2746.5,-1.91,MOMENTUM_FADE
ASTRAL,2022-10-04,2022-10-11,1669.87,1619.21,-3.03,MOMENTUM_FADE
ASTRAL,2023-07-12,2023-07-21,1827.18,1909.48,4.5,TIME_EXIT
BANDHANBNK,2025-07-15,2025-07-24,178.52,182.48,2.22,TIME_EXIT
BHARTIARTL,2024-02-14,2024-02-23,1100.47,1110.23,0.89,TIME_EXIT
BHARTIARTL,2024-10-03,2024-10-14,1659.58,1681.54,1.32,TIME_EXIT
BHEL,2024-05-31,2024-06-04,298.02,245.83,-17.51,STOP_LOSS
BIOCON,2024-01-31,2024-02-05,267.67,283.88,6.05,PARTIAL_EXIT_50%
BIOCON,2024-01-31,2024-02-06,267.67,297.74,11.23,TARGET_HIT_RUNNER
CHOLAFIN,2024-05-31,2024-06-06,1237.85,1332.2,7.62,PARTIAL_EXIT_50%
CHOLAFIN,2024-05-31,2024-06-10,1237.85,1356.39,9.58,TARGET_HIT_RUNNER
COROMANDEL,2025-01-16,2025-01-22,1855.02,1757.4,-5.26,STOP_LOSS
CROMPTON,2024-07-05,2024-07-12,403.24,427.94,6.13,PARTIAL_EXIT_50%
CROMPTON,2024-07-05,2024-07-16,403.24,427.44,6.0,TIME_EXIT_RUNNER
HAL,2022-05-11,2022-05-12,739.33,720.31,-2.57,MOMENTUM_FADE
HAL,2022-10-17,2022-10-25,1127.38,1194.09,5.92,PARTIAL_EXIT_50%
HAL,2022-10-17,2022-10-27,1127.38,1202.01,6.62,TIME_EXIT_RUNNER
HDFCBANK,2024-07-12,2024-07-19,800.53,792.93,-0.95,MOMENTUM_FADE
HINDUNILVR,2022-08-29,2022-09-07,2421.71,2411.19,-0.43,TIME_EXIT
HINDUNILVR,2025-08-11,2025-08-20,2498.76,2648.98,6.01,PARTIAL_EXIT_50%
HINDUNILVR,2025-08-11,2025-08-21,2498.76,2627.35,5.15,TIME_EXIT_RUNNER
ICICIPRULI,2024-04-23,2024-04-24,592.45,574.29,-3.06,MOMENTUM_FADE
ICICIPRULI,2025-06-09,2025-06-18,636.71,631.45,-0.83,TIME_EXIT
IDBI,2023-08-22,2023-08-29,59.37,57.25,-3.57,MOMENTUM_FADE
IDBI,2025-11-12,2025-11-21,99.97,100.24,0.27,TIME_EXIT
IDEA,2024-06-05,2024-06-07,14.85,15.85,6.73,PARTIAL_EXIT_50%
IDEA,2024-06-05,2024-06-11,14.85,16.19,9.02,TARGET_HIT_RUNNER
IDEA,2024-07-03,2024-07-08,17.47,16.56,-5.21,STOP_LOSS
INDUSTOWER,2023-09-13,2023-09-22,183.6,183.4,-0.11,TIME_EXIT
INDUSTOWER,2024-05-14,2024-05-23,339.5,343.8,1.27,TIME_EXIT
IRFC,2024-08-12,2024-08-13,178.29,175.48,-1.58,MOMENTUM_FADE
JINDALSTEL,2022-12-26,2022-12-27,524.57,571.83,9.01,TARGET_HIT
LICI,2024-04-15,2024-04-24,943.84,972.5,3.04,TIME_EXIT
LODHA,2023-08-16,2023-08-24,708.71,677.51,-4.4,STOP_LOSS
LODHA,2024-12-30,2025-01-06,1415.78,1341.73,-5.23,STOP_LOSS
LUPIN,2023-10-30,2023-10-31,1128.35,1116.28,-1.07,MOMENTUM_FADE
LUPIN,2024-03-21,2024-04-01,1594.7,1606.67,0.75,TIME_EXIT
M&M,2024-01-09,2024-01-16,1605.16,1595.75,-0.59,MOMENTUM_FADE
MUTHOOTFIN,2025-10-28,2025-11-06,3155.32,3157.11,0.06,TIME_EXIT
NESTLEIND,2025-05-08,2025-05-19,1159.19,1192.42,2.87,TIME_EXIT
PAYTM,2023-08-04,2023-08-07,796.6,850.7,6.79,PARTIAL_EXIT_50%
PAYTM,2023-08-04,2023-08-11,796.6,864.55,8.53,TARGET_HIT_RUNNER
PERSISTENT,2023-03-17,2023-03-20,2279.65,2233.58,-2.02,MOMENTUM_FADE
POWERGRID,2026-03-09,2026-03-18,295.2,299.4,1.42,TIME_EXIT
SAIL,2024-06-14,2024-06-25,150.56,144.07,-4.31,STOP_LOSS
SBILIFE,2023-12-21,2023-12-22,1396.63,1387.23,-0.67,MOMENTUM_FADE
SBIN,2024-03-20,2024-04-01,709.85,731.11,2.99,TIME_EXIT
SYNGENE,2024-09-24,2024-10-03,892.57,882.64,-1.11,TIME_EXIT
TORNTPHARM,2025-08-07,2025-08-18,3572.21,3626.73,1.53,TIME_EXIT
TRENT,2022-04-19,2022-04-28,1243.36,1220.76,-1.82,TIME_EXIT
TVSMOTOR,2022-09-30,2022-10-03,1015.36,979.21,-3.56,MOMENTUM_FADE
TVSMOTOR,2024-10-08,2024-10-17,2719.73,2658.89,-2.24,TIME_EXIT
